ï»¿X,Y,FID,AÃ±o,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,RegiÃ³n,Comuna,Tipo_Accid,Tipo__CONA,Zona,UbicaciÃ³n,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,NÃºmero,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,CondiciÃ³n,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon,Archivo_Origen
-8129817.03540548,-4426067.75468174,3,2023,1503849,2023/01/13 00:00:00+00,Enero,13,Viernes,1899/12/30 00:00:00+00,08:50:00,8,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SEÃAL CEDA EL PASO,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,8 ORIENTE,CALLE UNO,8 ORIENTE - CALLE UNO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,8,81,8103,BiobÃ­o,ConcepciÃ³n,Chiguayante,Interseccion,"8 ORIENTE & CALLE UNO, Chiguayante",-36.906397,-73.031389,Bici_2023.csv
-8133135.24678705,-4415511.80184747,23,2023,1504599,2023/01/17 00:00:00+00,Enero,17,Martes,1899/12/30 00:00:00+00,14:00:00,14,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,CRUCE CON SEÃAL CEDA EL PASO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,PASCUAL BINIMELIS,CENTRAL NORTE,CENTRAL NORTE - PASCUAL BINIMELIS,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"CENTRAL NORTE & PASCUAL BINIMELIS, ConcepciÃ³n",-36.830535,-73.061197,Bici_2023.csv
-8131384.41383585,-4414851.8984552,85,2023,1506478,2023/01/27 00:00:00+00,Enero,27,Viernes,1899/12/30 00:00:00+00,18:30:00,18,REGION BIO BIO,CONCEPCION,ATROPELLO,ATROPELLO,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL PEATON,IMPRUDENCIA DEL PEATON,O'HIGGINS,TUCAPEL,O'HIGGINS - TUCAPEL,0, , ,UNIDIRECCIONAL,CONCRETO,REGULAR,SECO,DESPEJADO,0,0,1,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"O'HIGGINS & TUCAPEL, ConcepciÃ³n",-36.82579,-73.045469,Bici_2023.csv
-8131384.41383585,-4414851.8984552,86,2023,1506473,2023/01/27 00:00:00+00,Enero,27,Viernes,1899/12/30 00:00:00+00,20:40:00,20,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,O'HIGGINS,TUCAPEL,O'HIGGINS - TUCAPEL,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"O'HIGGINS & TUCAPEL, ConcepciÃ³n",-36.82579,-73.045469,Bici_2023.csv
-8137269.43674869,-4417384.56437758,90,2023,1509584,2023/01/28 00:00:00+00,Enero,28,SÃ¡bado,1899/12/30 00:00:00+00,21:30:00,21,REGION BIO BIO,SAN PEDRO DE LA PAZ,COLISION POR ALCANCE,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,MICHIMALONCO,LOS CANELOS,LOS CANELOS - MICHIMALONCO,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8108,BiobÃ­o,ConcepciÃ³n,San Pedro de la Paz,Interseccion,"LOS CANELOS & MICHIMALONCO, San Pedro de la Paz",-36.843999,-73.098335,Bici_2023.csv
-8132054.22317856,-4410583.33284975,103,2023,1508523,2023/01/31 00:00:00+00,Enero,31,Martes,1899/12/30 00:00:00+00,12:30:00,12,REGION BIO BIO,CONCEPCION,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SEÃAL PARE,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,JOSE DE GARRO,GOBERNADOR JUAN HENRIQUEZ,GOBERNADOR JUAN HENRIQUEZ - JOSE DE GARRO,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"GOBERNADOR JUAN HENRIQUEZ & JOSE DE GARRO, ConcepciÃ³n",-36.79509,-73.051486,Bici_2023.csv
-8138562.73988017,-4409413.73865924,107,2023,1506970,2023/02/01 00:00:00+00,Febrero,1,MiÃ©rcoles,1899/12/30 00:00:00+00,11:00:00,11,REGION BIO BIO,HUALPEN,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SEÃALIZACION,SEÃALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,CRISTOBAL COLON,LOS COPIHUES,CRISTOBAL COLON - LOS COPIHUES,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8112,BiobÃ­o,ConcepciÃ³n,HualpÃ©n,Interseccion,"CRISTOBAL COLON & LOS COPIHUES, HualpÃ©n",-36.786676,-73.109953,Bici_2023.csv
-8128676.34458332,-4430094.3635808,144,2023,1512285,2023/02/09 00:00:00+00,Febrero,9,Jueves,1899/12/30 00:00:00+00,15:20:00,15,REGION BIO BIO,CHIGUAYANTE,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE SIN SEÃALIZACION,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LOS HEROES,PEDRO ANGULO NOVOA,LOS HEROES - PEDRO ANGULO NOVOA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8103,BiobÃ­o,ConcepciÃ³n,Chiguayante,Interseccion,"LOS HEROES & PEDRO ANGULO NOVOA, Chiguayante",-36.935315,-73.021142,Bici_2023.csv
-8132585.32850253,-4415994.96887187,145,2023,1509331,2023/02/09 00:00:00+00,Febrero,9,Jueves,1899/12/30 00:00:00+00,17:00:00,17,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,CHACABUCO,ARTURO PRAT,ARTURO PRAT - CHACABUCO,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"ARTURO PRAT & CHACABUCO, ConcepciÃ³n",-36.834009,-73.056257,Bici_2023.csv
-8133111.86966058,-4415210.98101325,148,2023,1509357,2023/02/10 00:00:00+00,Febrero,10,Viernes,1899/12/30 00:00:00+00,19:45:00,19,REGION BIO BIO,CONCEPCION,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SEÃALIZACION,SEÃALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,MAIPU,CICLOVIA JUAN BOSCO,CICLOVIA JUAN BOSCO - MAIPU,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,8,81,8101,BiobÃ­o,ConcepciÃ³n,ConcepciÃ³n,Interseccion,"CICLOVIA JUAN BOSCO & MAIPU, ConcepciÃ³n",-36.828372,-73.060987,Bici_2023.csv
