X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7860974.15763266,-3951526.80503275,1,2024,1653013,2024/11/22 00:00:00+00,Noviembre,22,Viernes,1899/12/30 00:00:00+00,12:30:00,12,REGION METROPOLITANA,PROVIDENCIA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ANDRES BELLO, ,- ANDRES BELLO,1930, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13123,Metropolitana de Santiago,Santiago,Providencia,Numero,"ANDRES BELLO 1930, Providencia",-33.422559,-70.616332
-7912896.97471544,-4087983.12807843,2,2024,1653118,2024/11/26 00:00:00+00,Noviembre,26,Martes,1899/12/30 00:00:00+00,06:25:00,6,REGION LIB.B.O'HIGGINS,SAN VICENTE,COLISION POR ALCANCE,COLISION,URBANA,CRUCE CON SENAL PARE,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,HORACIO ARANGUIZ, ,- HORACIO ARANGUIZ,1323, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,06,061,06117,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,Numero,"HORACIO ARANGUIZ 1323, San Vicente",-34.439598,-71.082763
-7925215.43101427,-3865780.4296043,3,2024,1653191,2024/11/27 00:00:00+00,Noviembre,27,Miércoles,1899/12/30 00:00:00+00,15:00:00,15,REGION VALPARAISO,CALERA,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,JOSE JOAQUIN GODOY, ,- JOSE JOAQUIN GODOY,100, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,2,05,055,05502,Valparaíso,Quillota,Calera,Numero,"JOSE JOAQUIN GODOY 100, Calera",-32.777292,-71.193422
-7894285.00911097,-7011162.88325466,4,2024,1653303,2024/11/26 00:00:00+00,Noviembre,26,Martes,1899/12/30 00:00:00+00,08:30:00,8,REGION MAGALLANES Y ANTARTICA CHILENA,PUNTA ARENAS,CHOQUE LADO/FRENTE,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,REPUBLICA, ,- REPUBLICA,475, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,12,121,12101,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,Numero,"REPUBLICA 475, Punta Arenas",-53.151997,-70.915569
-7906847.28537354,-3955427.80899613,5,2024,1653358,2024/11/30 00:00:00+00,Noviembre,30,Sábado,1899/12/30 00:00:00+00,06:30:00,6,REGION METROPOLITANA,CURACAVI,COLISION POR ALCANCE,COLISION,RURAL,TRAMO DE VIA RECTA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD, , , ,0,G-68,34,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,13,135,13503,Metropolitana de Santiago,Melipilla,Curacaví,Numero,G-68 km 34,-33.451802,-71.028418
-7857717.61026926,-3950466.33777326,6,2024,1653372,2024/11/22 00:00:00+00,Noviembre,22,Viernes,1899/12/30 00:00:00+00,18:00:00,18,REGION METROPOLITANA,LAS CONDES,COLISION,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,APOQUINDO, ,- APOQUINDO,4228, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13114,Metropolitana de Santiago,Santiago,Las Condes,Numero,"APOQUINDO 4228, Las Condes",-33.414607,-70.587078
-8150395.07675331,-4841577.23867124,7,2024,1653467,2024/11/30 00:00:00+00,Noviembre,30,Sábado,1899/12/30 00:00:00+00,17:00:00,17,REGION DE LOS RIOS,VALDIVIA,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,RAMON PICARTE, ,- RAMON PICARTE,2500, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,1,0,14,141,14101,Los Ríos,Valdivia,Valdivia,Numero,"RAMON PICARTE 2500, Valdivia",-39.832126,-73.216245
-7933390.29567462,-3496661.04584886,8,2024,1653697,2024/11/25 00:00:00+00,Noviembre,25,Lunes,1899/12/30 00:00:00+00,10:15:00,10,REGION COQUIMBO,LA SERENA,COLISION PERPENDICULAR,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,JOSE MANUEL BALMACEDA, ,- JOSE MANUEL BALMACEDA,5505, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,NUBLADO,0,0,0,1,04,041,04101,Coquimbo,Elqui,La Serena,Numero,"JOSE MANUEL BALMACEDA 5505, La Serena",-29.946393,-71.266858
-8051359.27048046,-4503110.55376115,9,2024,1653823,2024/11/23 00:00:00+00,Noviembre,23,Sábado,1899/12/30 00:00:00+00,09:40:00,9,REGION BIO BIO,LOS ANGELES,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CARGA SOBRESALE ESTRUCTURA VEHICULO,LAS INDUSTRIAS, ,- LAS INDUSTRIAS,514, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,1,08,083,08301,Biobío,Biobío,Los Angeles,Numero,"LAS INDUSTRIAS 514, Los Angeles",-37.457791,-72.326591
-8214406.78181559,-5231295.23117907,10,2024,1653845,2024/11/22 00:00:00+00,Noviembre,22,Viernes,1899/12/30 00:00:00+00,18:30:00,18,REGION LOS LAGOS,CASTRO,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,RUPERTO TRIVINOZ, ,- RUPERTO TRIVINOZ,1728, , ,BIDIRECCIONAL,CONCRETO,REGULAR,HUMEDO,NUBLADO,0,0,0,1,10,102,10201,Los Lagos,Chiloé,Castro,Numero,"RUPERTO TRIVINOZ 1728, Castro",-42.467681,-73.791272
