X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7907600.65140434,-4140904.991273,1,2024,1589212,2024/01/21 00:00:00+00,Enero,21,Domingo,1899/12/30 00:00:00+00,19:00:00,19,REGION MAULE,TENO,COLISION,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, , , ,0,J-115,"4,5",BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,07,073,07308,Maule,Curicó,Teno,Ruta,"J-115 km 4,5",-34.830754,-71.035185
-8126124.1226513,-4402721.11168455,2,2024,1602167,2024/04/05 00:00:00+00,Abril,5,Viernes,1899/12/30 00:00:00+00,22:05:00,22,REGION BIO BIO,PENCO,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,FREIRE, ,- FREIRE,250, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,08,081,08107,Biobío,Concepción,Penco,Numero,"FREIRE 250, Penco",-36.738512,-72.998215
-7966547.56984835,-4252937.25790428,3,2024,1586372,2024/01/21 00:00:00+00,Enero,21,Domingo,1899/12/30 00:00:00+00,19:30:00,19,REGION MAULE,COLBUN,CHOQUE FRONTAL,CHOQUE,RURAL,CRUCE SIN SENALIZACION,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD, , , ,0,L-17,1,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,07,074,07402,Maule,Linares,Colbún,Ruta,L-17 km 1,-35.652694,-71.564714
-8121360.89770607,-4387719.79467208,4,2024,1602195,2024/04/06 00:00:00+00,Abril,6,Sábado,1899/12/30 00:00:00+00,20:30:00,20,REGION BIO BIO,TOME,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,LATORRE, ,- LATORRE,143, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,08,081,08111,Biobío,Concepción,Tomé,Numero,"LATORRE 143, Tomé",-36.630443,-72.955426
-8057847.0722167,-4455775.26698665,5,2024,1586216,2024/01/22 00:00:00+00,Enero,22,Lunes,1899/12/30 00:00:00+00,01:03:00,1,REGION BIO BIO,CABRERO,COLISION POR ALCANCE,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE, , , ,0,RUTA 5 SUR,469,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,1,0,0,0,08,083,08303,Biobío,Biobío,Cabrero,Ruta,RUTA 5 SUR km 469,-37.11949,-72.384872
-8026883.98370901,-4386925.36494048,6,2024,1602219,2024/04/03 00:00:00+00,Abril,3,Miércoles,1899/12/30 00:00:00+00,17:30:00,17,REGION NUBLE,CHILLAN,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,ACERA O BERMA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,MADRID, ,- MADRID,778, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,NUBLADO,0,0,0,1,16,161,16101,Ñuble,Diguillín,Chillán,Numero,"MADRID 778, Chillán",-36.624716,-72.106726
-7966064.62895035,-4281921.6808563,7,2024,1586376,2024/01/22 00:00:00+00,Enero,22,Lunes,1899/12/30 00:00:00+00,09:50:00,9,REGION MAULE,LINARES,VOLCADURA,VOLCADURA,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, , , ,0,L-45,2,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,07,074,07401,Maule,Linares,Linares,Ruta,L-45 km 2,-35.863983,-71.560376
-8133283.19039031,-4410617.94718995,8,2024,1602220,2024/03/19 00:00:00+00,Marzo,19,Martes,1899/12/30 00:00:00+00,10:50:00,10,REGION BIO BIO,CONCEPCION,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,PAICAVI, ,- PAICAVI,3280, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,08,081,08101,Biobío,Concepción,Concepción,Numero,"PAICAVI 3280, Concepción",-36.795339,-73.062526
-7875309.77099431,-3939447.88719729,9,2024,1581840,2024/01/02 00:00:00+00,Enero,2,Martes,1899/12/30 00:00:00+00,21:50:00,21,REGION METROPOLITANA,QUILICURA,IMPACTO CON ANIMAL,OTRO TIPO,URBANA,TRAMO DE VIA RECTA,DEFICIENCIAS VIALES,ANIMALES SUELTOS VIA PUBLICA,STA LUISA, ,- STA LUISA,2910, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,2,0,0,0,13,131,13125,Metropolitana de Santiago,Santiago,Quilicura,Numero,"STA LUISA 2910, Quilicura",-33.331948,-70.745111
-8039762.08664738,-4383249.80487827,10,2024,1587245,2024/01/23 00:00:00+00,Enero,23,Martes,1899/12/30 00:00:00+00,17:40:00,17,REGION NUBLE,CHILLAN,COLISION POR ALCANCE,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE, , , ,0,N-660,2,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,16,161,16101,Ñuble,Diguillín,Chillán,Ruta,N-660 km 2,-36.598213,-72.222412
