X,Y,FID,Año,IdAccident,Fecha,Mes,Dia_mes,Dia_semana,Hora,Hora_texto,Hora_aprox,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA1,Tipo_direc,Direccion,Lat,Lon
-7965202.62747526,-3898475.16451738,1,2023,1521083,2023/03/31 00:00:00+00,Marzo,31,Viernes,1899/12/30 00:00:00+00,12:05:00,12,REGION VALPARAISO,VIÑA DEL MAR,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ARLEGUI, ,- ARLEGUI,665, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,1,0,0,05,051,05109,Valparaíso,Valparaíso,Viña del Mar,Numero,"ARLEGUI 665, Viña del Mar",-33.023888,-71.552633
-7854867.68149118,-3969263.87888796,2,2023,1522945,2023/03/31 00:00:00+00,Marzo,31,Viernes,1899/12/30 00:00:00+00,21:12:00,21,REGION METROPOLITANA,PUENTE ALTO,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,CAMILO HENRIQUEZ, ,- CAMILO HENRIQUEZ,4673, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0,13,132,13201,Metropolitana de Santiago,Cordillera,Puente Alto,Numero,"CAMILO HENRIQUEZ 4673, Puente Alto",-33.555442,-70.561477
-7869198.77685111,-3956401.45949336,3,2023,1520627,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,09:30:00,9,REGION METROPOLITANA,ESTACION CENTRAL,ATROPELLO,ATROPELLO,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ARICA, ,- ARICA,4060, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,13,131,13106,Metropolitana de Santiago,Santiago,Estación Central,Numero,"ARICA 4060, Estación Central",-33.459099,-70.690215
-7936460.72469744,-3499755.07237407,4,2023,1521028,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,13:00:00,13,REGION COQUIMBO,COQUIMBO,CHOQUE LADO/LADO,CHOQUE,URBANA,TRAMO DE VIA RECTA,OTRAS CAUSAS,HECHO DELICTUAL,DEMETRIO REYGADA, ,- DEMETRIO REYGADA,4150, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,04,041,04102,Coquimbo,Elqui,Coquimbo,Numero,"DEMETRIO REYGADA 4150, Coquimbo",-29.970474,-71.29444
-7823964.56671539,-2090309.55293822,5,2023,1520578,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,13:20:00,13,REGION ARICA Y PARINACOTA,ARICA,CHOQUE LATERAL,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,CALLE UNO, ,- CALLE UNO,3319, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,1,0,15,151,15101,Arica y Parinacota,Arica,Arica,Numero,"CALLE UNO 3319, Arica",-18.450183,-70.28387
-7887558.30531685,-3893914.81194352,6,2023,1522776,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,15:20:00,15,REGION METROPOLITANA,SANTIAGO,COLISION,COLISION,RURAL,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO, , , ,0,RUTA 5 NORTE,58,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1,13,131,13101,Metropolitana de Santiago,Santiago,Santiago,Numero,RUTA 5 NORTE km 58,-32.989534,-70.855142
-7899806.10810336,-3976932.87198805,7,2023,1521284,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,16:30:00,16,REGION METROPOLITANA,PEÑAFLOR,VOLCADURA,VOLCADURA,RURAL,TRAMO DE VIA RECTA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE, , , ,0,G-380,26,BIDIRECCIONAL,ASFALTO,BUENO,CON ACEITE,DESPEJADO,0,0,0,1,13,136,13605,Metropolitana de Santiago,Talagante,Peñaflor,Numero,G-380 km 26,-33.612834,-70.965166
-7931634.85350651,-3490972.78261117,8,2023,1520999,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,18:00:00,18,REGION COQUIMBO,LA SERENA,COLISION LATERAL,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ARTURO PRAT, ,- ARTURO PRAT,350, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,2,04,041,04101,Coquimbo,Elqui,La Serena,Numero,"ARTURO PRAT 350, La Serena",-29.902107,-71.251088
-7975776.97271677,-3901352.90690026,9,2023,1520435,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,19:10:00,19,REGION VALPARAISO,VALPARAISO,IMPACTO CON ANIMAL,OTRO TIPO,URBANA,TRAMO DE VIA RECTA,DEFICIENCIAS VIALES,ANIMALES SUELTOS VIA PUBLICA,CAMINO LA POLVORA, ,- CAMINO LA POLVORA,665, , ,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0,05,051,05101,Valparaíso,Valparaíso,Valparaíso,Numero,"CAMINO LA POLVORA 665, Valparaíso",-33.04556,-71.647624
-7871086.4975211,-3978661.22287175,10,2023,1520550,2023/04/01 00:00:00+00,Abril,1,Sábado,1899/12/30 00:00:00+00,23:30:00,23,REGION METROPOLITANA,SAN BERNARDO,CHOQUE FRONTAL,CHOQUE,URBANA,TRAMO DE VIA CURVA VERTICAL,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,CAMINO INTERNACIONAL, ,- CAMINO INTERNACIONAL,19460, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,1,0,0,0,13,134,13401,Metropolitana de Santiago,Maipo,San Bernardo,Numero,"CAMINO INTERNACIONAL 19460, San Bernardo",-33.625764,-70.707173
